BurrowID,BandNo,DateTime,Year,Plot,Count,Fledged
P5,2461-11784,2022-10-06 20:18,2022,1,92,yes
P8,2461-11785,2022-09-13 20:17,2022,1,83,unk
P76,2461-11786,2022-10-27 3:50,2022,1,13,yes
P2,2461-11787,2022-10-15 22:17,2022,1,41,yes
P106,2461-11788,2022-10-25 23:01,2022,1,104,yes
P9,2461-11790,2022-10-12 19:22,2022,1,203,yes
P13,2461-11791,2022-10-05 21:32,2022,1,182,yes
P15,2461-11792,2022-09-15 20:07,2022,1,63,unk
P67,2461-11794,2022-10-03 1:01,2022,5,62,yes
P75,2461-11795,2022-10-25 19:49,2022,5,109,yes
P102,2461-11796,2022-10-07 20:55,2022,5,146,yes
P56,2461-11797,2022-10-22 19:30,2022,5,64,yes
P62,2461-11798,2022-10-28 19:42,2022,5,105,yes
P51,2461-11799,2022-10-08 20:39,2022,5,144,yes
P54,2461-11800,2022-10-01 20:28,2022,5,65,yes
P56,2461-12901,2018-10-18 19:56,2018,5,40,yes
P57,2461-12902,2018-10-07 21:02,2018,5,57,yes
P102,2461-12903,2018-09-30 20:33,2018,5,35,yes
P54,2461-12906,2018-10-17 22:12,2018,5,96,yes
P98,2461-12907,2018-09-23 20:16,2018,5,23,yes
P49,2461-12908,2018-10-26 18:54,2018,5,78,yes
P62,2461-12909,2018-09-27 19:44,2018,5,85,yes
P100,2461-19940,2022-10-02 19:49,2022,6,117,yes
P71,2461-13158,2018-09-19 20:11,2018,1,3,unk
P76,2461-13159,2018-10-10 19:55,2018,1,106,yes
P2,2461-13160,2018-10-19 2:57,2018,1,26,yes
P5,2461-13161,2018-10-08 19:55,2018,1,89,yes
P8,2461-13162,2018-09-24 20:45,2018,1,61,yes
P6,2461-13163,2018-09-29 19:39,2018,1,64,yes
P79,2461-13164,2018-09-26 20:25,2018,1,52,yes
P10,2461-13165,2018-10-08 19:33,2018,1,68,yes
P80,2461-13166,2018-09-21 20:27,2018,1,18,yes
P30,2461-13168,2018-10-02 21:44,2018,2,119,yes
P88,2461-13169,2018-09-23 20:32,2018,2,42,yes
P68,2461-13170,2018-10-13 20:19,2018,2,100,yes
P82,2461-13174,2018-10-10 19:57,2018,2,96,yes
P83,2461-13175,2018-10-06 22:10,2018,2,57,yes
P85,2461-13176,2018-10-10 20:00,2018,2,106,yes
P24,2461-13179,2018-10-22 19:24,2018,2,98,yes
P89,2461-13180,2018-10-13 19:32,2018,2,52,yes
P87,2461-13181,2018-09-27 20:51,2018,2,89,yes
P90,2461-13182,2018-10-02 20:18,2018,2,93,yes
P70,2461-13185,2018-10-12 21:06,2018,3,124,yes
P35,2461-13186,2018-10-31 19:19,2018,3,28,yes
P91,2461-13187,2018-09-30 23:44,2018,3,62,yes
P31,2461-13188,2018-09-29 20:07,2018,3,25,yes
P69,2461-13189,2018-10-14 19:46,2018,3,84,yes
P107,2461-13342,2021-10-10 21:09,2021,4,18,yes
P107,3061-01109,2022-10-16 20:12,2022,4,114,yes
P42,2461-13195,2018-09-26 20:08,2018,4,43,yes
P42,3061-01107,2022-10-16 19:55,2022,4,182,yes
P42,7901-12184,2017-10-13 22:08,2017,4,125,yes
P43,7901-12181,2017-10-07 19:45,2017,4,123,yes
P46,2461-13190,2018-10-13 20:35,2018,4,100,yes
P97,2461-13198,2018-10-30 18:47,2018,5,59,yes
P75,2461-13199,2018-10-18 20:15,2018,5,94,yes
P67,2461-13200,2018-09-24 21:38,2018,5,30,yes
P71,2461-13318,2021-10-18 19:11,2021,1,84,yes
P5,2461-13319,2021-09-27 20:07,2021,1,6,unk
P8,2461-13320,2021-09-27 20:05,2021,1,51,yes
P79,2461-13324,2021-09-26 20:30,2021,1,7,unk
P106,2461-13325,2021-10-02 19:52,2021,1,72,yes
P18,2461-13326,2021-10-12 1:11,2021,2,25,yes
P46,3061-01108,2022-10-02 5:00,2022,4,5,unk
P47,2461-13197,2018-10-01 20:09,2018,4,72,yes
P47,2461-13338,2021-09-25 21:23,2021,4,17,yes
P133,2461-19925,2022-10-09 21:47,2022,3,57,yes
P132,2461-19926,2022-10-04 23:44,2022,3,116,yes
P37,2461-19930,2022-10-11 20:11,2022,3,60,yes
P83,2461-19932,2022-09-26 20:31,2022,2,51,yes
P82,2461-19933,2022-10-20 19:00,2022,2,234,yes
P30,2461-19934,2022-10-04 20:07,2022,2,119,yes
P87,2461-19935,2022-10-28 20:10,2022,2,46,yes
P24,2461-19936,2022-10-04 19:48,2022,2,91,yes
P68,2461-19937,2022-10-11 19:28,2022,2,140,yes
P89,2461-19938,2022-09-15 20:19,2022,2,154,unk
P104,2461-19939,2022-10-04 19:34,2022,6,106,yes
P108,2461-19983,2022-10-06 19:39,2022,6,3,unk
P35,2461-19980,2022-11-05 18:54,2022,3,45,yes
P64,2461-12910,2018-10-16 19:52,2018,6,56,yes
P64,7901-12175,2017-10-19 19:23,2017,6,51,yes
P105,2461-19984,2022-10-27 0:01,2022,1,65,yes
P18,2461-19985,2022-10-25 19:38,2022,2,115,yes
P86,2461-19986,2022-11-03 21:55,2022,2,40,yes
P50,3061-01101,2022-10-14 19:43,2022,5,104,yes
P49,3061-01102,2022-10-10 19:03,2022,5,118,yes
P78,3061-01106,2022-11-04 19:07,2022,1,142,yes
P47,7901-12180,2017-10-18 19:31,2017,4,72,yes
P48,7901-12182,2017-10-18 19:30,2017,4,139,yes
P92,2461-13196,2018-09-24 20:30,2018,4,19,yes
P94,2461-13191,2018-10-14 19:24,2018,4,120,yes
P94,3061-01111,2022-10-21 20:09,2022,4,191,yes
P2,7901-12147,2017-09-30 20:47,2017,1,19,yes
P4,7901-12148,2017-10-09 0:23,2017,1,38,yes
P5,7901-12149,2017-10-11 20:01,2017,1,132,yes
P8,7901-12150,2017-09-29 19:50,2017,1,122,yes
P6,7901-12151,2017-10-19 19:20,2017,1,43,yes
P10,7901-12152,2017-10-16 19:38,2017,1,94,yes
P9,7901-12153,2017-10-08 20:51,2017,1,196,yes
P11,7901-12154,2017-10-07 0:19,2017,1,142,yes
P74,7901-12157,2017-10-15 21:05,2017,2,105,yes
P29,7901-12158,2017-09-28 19:43,2017,2,80,yes
P23,7901-12160,2017-09-30 22:05,2017,2,191,yes
P30,7901-12161,2017-10-10 20:37,2017,2,70,yes
P21,7901-12162,2017-10-19 21:54,2017,2,98,yes
P18,7901-12163,2017-10-20 20:27,2017,2,78,yes
P16,7901-12164,2017-10-18 20:23,2017,2,34,yes
P75,7901-12165,2017-10-13 19:24,2017,5,200,yes
P61,7901-12166,2017-10-03 19:20,2017,5,72,yes
P67,7901-12167,2017-10-10 20:00,2017,5,102,yes
P55,7901-12169,2017-10-29 5:30,2017,5,27,yes
P50,7901-12171,2017-10-01 19:28,2017,5,81,yes
P52,7901-12173,2017-10-04 20:00,2017,5,120,yes
P62,7901-12174,2017-10-11 19:17,2017,5,141,yes
P99,2461-19982,2022-11-13 23:28,2022,6,55,yes
P39,7901-12177,2017-09-28 19:36,2017,3,89,yes
P31,7901-12178,2017-09-19 20:01,2017,3,88,yes
P36,7901-12179,2017-10-11 19:47,2017,3,47,yes
P95,2461-13192,2018-10-03 3:57,2018,4,100,yes
P95,2461-13341,2021-09-28 20:20,2021,4,28,yes
P95,3061-01110,2022-10-07 21:34,2022,4,135,yes
P96,2461-13194,2018-10-06 20:08,2018,4,101,yes
P119,,,2022,4,,no
P121,,,2022,4,,yes
P122,,,2022,4,,no
P123,,,2022,4,,no
P124,,,2022,4,,no
P125,,,2022,4,,no?
P126,,,2022,4,,no?
P127,,,2022,4,,no
P128,,,2022,4,,yes
P129,,,2022,4,,yes
P130,,,2022,4,,yes
P131,,,2022,4,,no
P101,,,2022,6,,yes
P109,,,2022,6,,yes
P110,,,2022,6,,yes
P111,,,2022,6,,yes
P112,,,2022,6,,no
P113,,,2022,6,,yes
P114,,,2022,6,,no?
P115,,,2022,6,,yes
P116,,,2022,6,,no?
P117,,,2022,6,,yes
P118,,,2022,6,,no
